naics2,description,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
52, Finance and Insurance,2120,3290,3120,2700,3040,3100,3390,2870,3380,3080,3330,3530,3360,3240,3140,3000,2850,3110,3000,3250,2980,2380,3050,2920,3000,3080,2140,2640,2820,2730,3120,3010,2850,3040,2740,2390,2900,3030,3030,2920,2760,2710,2830,2890,2670,2620,3100,2460,2630,3300,3570,2320,1590,3930,3490,3180,3490,3360,3430,3210,3430,3650,3640,3260,2670,2700,2700,2460,2630,2750,2780,2830,2900,2440,2960,3270,3230,3690,3610,3370,3760,3830,3760,3830,3800,3770,3740,3770,3020,3770,3760,3720
53, Real Estate and Rental and Leasing,3920,6330,6220,5440,6420,6430,6450,5580,6740,6220,6810,6850,6580,5500,4430,4200,3900,4310,4090,4100,4090,3240,4110,3860,3970,3990,2870,3680,3840,3850,3650,3770,3900,3830,3650,3060,3810,4000,4070,3940,3670,3310,3940,4070,3780,3500,3900,3020,3570,4210,4530,2820,1950,5570,4780,4210,4920,4770,4570,4190,4800,4750,4560,3840,2880,2770,2800,2600,2750,2990,3140,3090,3230,2800,3280,3860,4170,4460,4690,4210,4760,5020,5140,5040,5370,4950,4970,5000,3780,4900,4960,4560
54," Professional, Scientific, and Technical Services",6160,9570,8740,8020,8860,8660,8470,7700,8070,7730,8160,8570,8310,8510,7700,7200,7170,7840,7250,7300,7190,5780,7170,6720,6900,6910,5180,6470,6560,6660,6680,6840,6830,7000,6640,5650,6770,7100,7120,7060,6860,6290,7220,7000,6860,6350,7060,5170,6260,7180,7440,5300,4000,10910,9280,8770,9820,9470,8960,8330,8820,8830,8230,7150,5860,6510,6800,6270,6650,6990,7130,7330,7390,6440,7210,7920,8350,9290,10040,9470,10580,10310,10470,10190,10070,9530,9350,9490,7650,9270,9260,8840
55, Management of Companies and Enterprises,350,580,530,490,620,620,740,600,690,650,680,740,680,680,640,640,560,630,640,630,680,510,610,630,640,710,470,530,610,590,640,610,650,640,630,460,670,760,700,680,640,540,640,680,670,600,710,560,530,830,950,610,330,820,690,610,700,710,720,680,710,740,820,690,510,550,500,430,500,500,460,530,600,450,550,600,630,690,710,540,770,700,690,720,690,720,790,770,630,750,760,770
56, Administrative and Support and Waste Management and Remediation Services,2760,4750,4710,4430,5340,5430,5490,4770,5400,5160,5340,5850,5720,5880,5290,4980,4880,5250,4960,4750,4760,3770,4710,4370,4380,4430,3220,4050,4130,4020,4150,4090,4180,4250,3850,3110,3880,4150,4090,3980,3880,3450,4000,3920,3810,3390,3800,2660,3090,3570,3650,2320,1800,5690,5000,4980,5830,5910,5600,5150,5610,6010,5470,4610,3760,3780,4050,3970,4330,4400,4620,4810,4890,4250,4680,5230,5660,7140,8220,8460,9210,8290,8220,8020,7610,6580,6640,6450,4850,5900,5820,5580
61, Educational Services,570,920,880,830,950,1000,930,850,900,860,900,870,960,960,910,840,790,850,790,820,830,650,870,800,820,760,610,720,780,780,820,790,790,820,710,660,780,810,740,790,710,650,750,710,680,650,730,490,620,690,700,450,330,1070,890,900,990,960,1020,920,960,950,860,680,540,640,680,610,620,720,690,770,760,720,740,930,990,1100,1250,1170,1420,1360,1430,1390,1430,1360,1300,1190,980,1060,1070,1050
62, Health Care and Social Assistance,2900,5050,4510,4290,5070,4920,4810,4240,4730,4240,4340,4690,4540,4590,4260,3970,4050,4360,4310,4080,4100,3280,4200,3930,4020,4070,3200,3880,3970,3800,4020,3860,4040,4140,3850,3290,4120,4120,4200,4070,4010,3490,4090,3850,3910,3550,3990,2850,3280,3830,3920,2380,1870,5860,5040,4660,5320,5130,4890,4630,4880,5010,4570,3730,3650,3540,3640,3580,3850,4070,4110,4160,4250,3600,4040,4630,4860,5690,6190,6160,6820,6400,6450,6410,6290,5880,5640,5690,4520,5370,5240,5080
71," Arts, Entertainment, and Recreation",1290,2400,2110,2090,2380,2370,2540,2150,2330,2190,2330,2440,2390,2500,2210,2120,2040,2170,2130,2050,2150,1630,2030,1970,1930,1980,1450,1930,2010,1930,1880,2010,2130,2200,2030,1680,2020,2070,1880,1930,1790,1660,1860,1800,1750,1570,1850,1370,1540,1740,1730,1120,810,2590,2270,2250,2640,2430,2560,2230,2530,2520,2370,1710,1280,1430,1440,1400,1490,1580,1680,1640,1820,1610,1770,1970,2200,2570,2910,2970,3240,2830,2880,2800,2730,2600,2700,2670,2060,2580,2360,2330
72, Accommodation and Food Services,2310,3900,3530,3340,3860,3760,4000,3540,4190,3820,4190,4460,4480,4330,4080,3970,3810,4160,3900,3860,3780,3050,3730,3730,3710,3640,2690,3450,3450,3440,3550,3510,3460,3600,3390,2850,3520,3680,3610,3510,3370,3000,3610,3460,3350,2970,3330,2390,2780,3220,3160,1890,1480,4590,3950,3730,4250,4300,4210,3970,4430,4530,4130,2920,2160,2230,2380,2350,2700,2780,3000,3100,3460,3050,3470,4180,4640,6030,6550,6750,7260,6490,6400,6200,6010,5480,5110,5040,4090,5060,4850,4610
81, Other Services (except Public Administration),3650,6250,5850,5610,6690,6680,6620,5960,6440,6000,6080,6540,6440,6630,5960,5720,5480,5890,5520,5300,5360,4240,5510,5130,5190,5190,3870,4900,4960,4900,4970,5100,5110,5310,4920,4000,4940,5140,5080,5030,4790,4250,5070,4650,4730,4320,4680,3490,4260,4680,4800,2900,2430,7410,6540,6340,7210,7030,6790,6070,6770,6840,6390,4950,3970,4570,4760,4410,4710,5360,5490,5990,6090,5680,6450,6920,7770,9660,11030,11340,12020,10750,10810,10080,9500,8720,8230,8250,6300,7740,7350,6870
92, Public Administration,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified,Unclassified,4360,7340,6560,6340,7450,7560,8290,7240,7740,7630,8130,8410,8620,9080,7720,7540,7340,8100,7660,8490,7590,5880,7170,7210,7270,7270,5260,6500,6760,6830,6680,6870,6920,7010,6510,5420,6540,7020,6960,6970,6640,5990,6840,6560,6630,6100,6610,5080,5800,6610,6850,4780,3030,8970,7970,7770,8650,8370,8600,7900,8470,8790,8310,7230,5990,5870,6270,5870,6600,7150,7300,7660,7650,6930,7830,8570,8870,9910,10990,10640,11750,11380,11310,10990,11040,10270,10490,10670,8120,10170,9810,9150
